#,Category,Product Name,Price,Payment Link / URL
1,Extra Virgin Olive Oils & Infusions,Extra Virgin Olive Oil Spanish,$20.00,https://square.link/u/58SQdFmm
2,Extra Virgin Olive Oils & Infusions,Basil Infused Extra Virgin Olive Oil,$21.00,https://square.link/u/oH89Jd9r
3,Extra Virgin Olive Oils & Infusions,Garlic Infused Extra Virgin Olive Oil,$21.00,https://square.link/u/SYB8MgUv
4,Extra Virgin Olive Oils & Infusions,Black Truffle Extra Virgin Olive Oil,$26.00,https://square.link/u/KonO8BkN
5,Extra Virgin Olive Oils & Infusions,Hatch Green Chili Extra Virgin Olive Oil,$21.00,https://square.link/u/C05iL7NG
6,Extra Virgin Olive Oils & Infusions,Meyer Lemon Extra Virgin Olive Oil,$21.00,https://square.link/u/eDcH5Lph
7,Traditional Balsamic Vinegars & Infusions,25 Star Traditional Balsamic Vinegar,$20.00,https://square.link/u/WahzIS3I
8,Traditional Balsamic Vinegars & Infusions,Cranberry Infused 25 Star Traditional Balsamic Vinegar,$21.00,https://square.link/u/vG6oTg0k
9,Traditional Balsamic Vinegars & Infusions,Chocolate Infused 25 Star Traditional Balsamic Vinegar,$21.00,https://square.link/u/JXxQ8125
10,Traditional Balsamic Vinegars & Infusions,Plum Infused 25 Star Traditional Balsamic Vinegar,$21.00,https://square.link/u/l6bPxgPR
11,Traditional Balsamic Vinegars & Infusions,Raspberry Infused 25 Star Traditional Balsamic Vinegar,$21.00,https://square.link/u/VczOz2ek
12,White Balsamic Vinegars & Infusions,25 Star White Balsamic Vinegar,$20.00,https://square.link/u/wBHWIKhk
13,White Balsamic Vinegars & Infusions,Blood Orange Infused 25 Star White Balsamic Vinegar,$21.00,https://square.link/u/pfmcDwON
14,White Balsamic Vinegars & Infusions,Chipotle Lime Infused 25 Star White Balsamic Vinegar,$21.00,https://square.link/u/WrktnUb1
15,White Balsamic Vinegars & Infusions,Meyer Lemon Infused 25 Star White Balsamic Vinegar,$21.00,https://square.link/u/Gnz1a3n1
16,Squirrelly Spice Blends,Chef Squirrel's Blend,$12.00,https://square.link/u/AFXOGZB7
17,Squirrelly Spice Blends,Mediterranean Squirrel,$12.00,https://square.link/u/Q3I26l3M
18,Squirrelly Spice Blends,Squirrelly 4 Chile Fiesta,$12.00,https://square.link/u/lKTv9Jdj
